Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
12/31/23 9:40 PM;Wild Adventures Theme Park;🎟️🚨 Today's the FINAL day to use your 2023 Season Passes! Don't miss out on a day packed with festive cheer, animal adventures, thrilling rides, and a lakeside Fireworks Spectacular starting at 8PM! 🎄🎢✨ And remember, after today, 2024 Season Pass prices go up too! Lock in the best deal now for next year's fun! 🌟🎁 https://bit.ly/3WlSO2S;16.0;;2.0;2.0;2.0;2.0;1,09E+12;1,09E+12;13.0;;1.0;;84679583132;84679583132_770120045161180;https://www.facebook.com/617429960430190/posts/770120045161180
12/31/23 8:01 PM;Fun Spot America;See you next year! 😉                Don’t miss our HUGE firework display tonight at midnight 🎆🎇#fireworks #NYE #NewYear2024 #bye2023 #HUGEFun;38.0;;1.0;2.0;1.0;1.0;4,17E+11;4,17E+11;33.0;;;;1,8402E+11;184020466977_767286052104076;https://www.facebook.com/653224623510220/posts/767286052104076
12/31/23 7:30 PM;Fun Spot America;"Don't miss our HUGE firework display ! 🥳

#fireworks  #NYE #newyear #Themepark #Hugefun #celebrate #makememories #funspotamerica";23.0;;2.0;3.0;2.0;2.0;2,85E+11;2,85E+11;21.0;;;1.0;1,8402E+11;184020466977_767267948772553;https://www.facebook.com/653224623510220/posts/767267948772553
12/31/23 7:00 PM;Disneyland Paris;"Fijne jaarwisseling! 🥂🎉
En tot volgend jaar 😉";646.0;;52.0;12.0;56.0;56.0;1,36E+11;1,36E+11;478.0;;1.0;;6,52389E+14;652389081615295_775974521237956;https://www.facebook.com/724434559725286/posts/775974521237956
12/31/23 7:00 PM;Silverwood Theme Park;It's the last day of our New Year's Sale! Save up to $25 on 1-day and 2-day tickets and make new memories in the brand new Emerald Forest expansion of Boulder Beach Water Park! New adventures await in 2024! https://sw4.fun/2024;17.0;;2.0;0.0;2.0;2.0;4,96E+11;4,96E+11;16.0;;;1.0;7,62702E+14;762701550509617_678920137770716;https://www.facebook.com/562559642740100/posts/678920137770716
12/31/23 6:55 PM;Belmont Park;"The sun sets over 2023…🌅

Wishing everyone a happy, safe and healthy 2024 from Belmont Park! 🎉 There’s still time to squeeze in some family fun at your favorite beachside amusement park…

Ring in 2024 with your FAVORITE Rides & Attractions! We’ll be OPEN New Year’s Eve from 11-9 pm and OPEN from 11-10 pm on New Year’s Day! 🥳

See you soon 🎢";51.0;;1.0;11.0;1.0;1.0;0.0012457732692649937;0.0012457732692649937;40.0;;1.0;;83231004302;83231004302_767257582104974;https://www.facebook.com/632506952246705/posts/767257582104974
12/31/23 6:01 PM;SeaWorld Orlando;Animal rescue and rehabilitation has always been an integral part of what SeaWorld is. In 2023, our incredible SeaWorld Rescue team has rescued over 80 animals. We have returned 70% back to their natural habitat and working diligently to reach 100%. To date we have rescued over 40,000 animals and are one of the world's largest marine animal rescue organizations. Our teams are on call 24/7/365, partnering with multiple government agencies to rescue and help animals in need of our care! We want to thank our incredible teams for making this possible in 2023. Looking forward to another amazing year!;729.0;;25.0;97.0;28.0;28.0;0.0035718617597483805;0.0035718617597483805;459.0;;1.0;;1782696285170057;1782696285170057_377301148304978;https://www.facebook.com/260024933365934/posts/377301148304978
12/31/23 5:30 PM;Canada's Wonderland;As this roller coaster of a year comes to a thrilling close, let's loop through the high moments we’ll not soon forget! 🎢🎉Cheers to a New Year we hope will be filled with more smiles, laughs and memory-making! 🥂🌟;102.0;;9.0;14.0;13.0;13.0;1,51E+12;1,51E+12;88.0;;;1.0;95469803923;95469803923_775191387982844;https://www.facebook.com/633676285467689/posts/775191387982844
12/31/23 5:01 PM;SeaWorld San Diego;"As we close out 2023, we want to take a moment to thank the many ambassadors who make up our team here at SeaWorld. ​

​Between last summer's grand opening of Arctic Rescue, an all-new lineup of summer entertainment, the opening of Rescue Jr. and the hatching of our first emperor penguin chick in over a decade, it has been a busy year for all of us! It is because of our team that we can give exceptional care to our animals and deliver one-of-a-kind experiences for our guests all year long. Thank you for an incredible year!";242.0;;5.0;15.0;5.0;5.0;0.002332185043750723;0.002332185043750723;182.0;;;1.0;4,26112E+14;426111667814056_689815569963071;https://www.facebook.com/579518520992777/posts/689815569963071
12/31/23 5:00 PM;Lake Compounce;"Who’s ready to party tonight? 🪩

Join Kyle the Crocodile and his friends at our Kids New Year’s Eve Bash from 6-8pm! 🥳

🎆 Final Fireworks Show of the Season at 7:30pm
🫧 Bubble Dance Party
🕺 Live DJ
🧃Juicebox Toast & Countdown
✨ and so much more! 

Learn More: https://www.lakecompounce.com/discover-the-park/holiday-lights/shows-rides-more";60.0;;3.0;5.0;3.0;3.0;4,14E+12;4,14E+12;46.0;;1.0;;80018245271;80018245271_791501566346367;https://www.facebook.com/548816340614892/posts/791501566346367
12/31/23 4:30 PM;Happy Hollow Park & Zoo;Today is the day! Join in and countdown to noon at Happy Hollow's Noon Year's Eve event! 🎊 There will be magic shows, animal encounters, a scavenger hunt and a confetti-filled celebration for the new year 🎉 Don't miss out on all the fun 🐲 More info at happyhollow.org/noon-years-eve;9.0;;0.0;0.0;0.0;0.0;2,28E+12;2,28E+12;9.0;;1.0;;1,32943E+11;132942835175_754037053419799;https://www.facebook.com/328743942615781/posts/754037053419799
12/31/23 4:17 PM;Wild Adventures Theme Park;This place is 'snow' joke! Today's your last chance to experience Georgia's largest snow foam party at Wild Adventures Christmas Wild & Bright! Enjoy piles of snow, festive entertainment, dazzling light displays and a Fireworks Spectacular tonight at 8PM: https://bit.ly/3rjKlli;30.0;;4.0;3.0;4.0;4.0;2,01E+12;2,01E+12;25.0;;1.0;;84679583132;84679583132_769945921845259;https://www.facebook.com/617429960430190/posts/769945921845259
12/31/23 3:43 PM;Universal Orlando Resort (US);It's Blue Year's Eve!;1234.0;;46.0;90.0;81.0;81.0;4,56E+11;4,56E+11;966.0;;1.0;;90867402851;90867402851_775492054612169;https://www.facebook.com/648601030634606/posts/775492054612169
12/31/23 3:31 PM;Busch Gardens Tampa Bay;What better way to ring in 2024 than with unforgettable fun during the day and fireworks at night?! 🎆 Join us tonight for a festive NYE fireworks show, entertainment and more until 1:00 am! Plus, don't forget that you still have until tomorrow to save up to 40% on tickets, Fun Cards & Annual Passes with our extended Holiday Sale by visiting the link in our bio. See you all next year! 🎢😉;332.0;;15.0;38.0;20.0;20.0;5,77E+11;5,77E+11;266.0;;;1.0;68181225238;68181225238_755682239923749;https://www.facebook.com/638736908284950/posts/755682239923749
12/31/23 1:15 PM;Hersheypark;"Don't wait! Today is the last day to save up to $60 and enjoy a 9-month payment plan for 2024 Season Passes! Explore the new perks and get ready for a year full of fun!
https://bit.ly/2LBjR9a";52.0;;2.0;0.0;2.0;2.0;6,28E+10;6,28E+10;44.0;;;1.0;16994689356;16994689356_763305079162692;https://www.facebook.com/639748524851682/posts/763305079162692
12/31/23 9:00 AM;Gilroy Gardens;"Today is the LAST DAY of the year and the LAST DAY to claim your New Year Bonus Bundle with every 2024 Premium Membership! Buy today and come out to the park to spend your  $30 in Bonus Bucks, bring a friend along for FREE, and also enjoy our January Bonus Days on January 5, 6 & 7. But hurry...this amazing offer ends at midnight! 

gilroygardens.org/tickets/memberships";36.0;;2.0;1.0;2.0;2.0;4,77E+11;4,77E+11;26.0;;1.0;;1,22944E+14;122943674395623_763208052510844;https://www.facebook.com/547581810740137/posts/763208052510844
12/31/23 5:21 AM;Sea Life Park;"#FunFact: Did you know that Honu have specialized glands that help them excrete excess salt from their bodies, allowing them to survive in saltwater environments?
 
Learn more about Hawaiian Sea Turtles during your next park visit!";16.0;;1.0;2.0;1.0;1.0;7,17E+10;7,17E+10;14.0;;1.0;;1,05016E+14;105015532870022_697162422516955;https://www.facebook.com/512254014341131/posts/697162422516955
12/31/23 3:15 AM;LEGOLAND California;Our tree really takes its “day to night” outfit transformation to a whole new level! 🎄 Come see our AWESOME new Christmas tree before Holidays at LEGOLAND ends. True holiday magic. ✨;42.0;;4.0;1.0;5.0;5.0;7,35E+10;7,35E+10;37.0;;;1.0;1,43631E+14;143631389003522_766432308856366;https://www.facebook.com/665808788918719/posts/766432308856366
12/31/23 2:24 AM;Wild Adventures Theme Park;Only one day left before prices go up! 😱 Get your 2024 Season Passes now to save up to $35 and enjoy benefits like Bring-A-Friend Tickets, Free Concert Admission, Free Animal Feedings and MORE!  https://www.wildadventures.com/buy-tickets/season-passes/;10.0;;1.0;0.0;1.0;1.0;5,98E+10;5,98E+10;9.0;;1.0;;84679583132;84679583132_769618858544632;https://www.facebook.com/617429960430190/posts/769618858544632
12/31/23 1:53 AM;Elitch Gardens;Need some *lit* plans for a family-friendly New Year’s Eve? ✨ Visit Luminova Holidays at Elitch Gardens! Tomorrow, December 31, is the last day of the event. Open 5-9pm! 🥳;57.0;;12.0;5.0;14.0;14.0;5,13E+11;5,13E+11;41.0;;1.0;;62242807350;62242807350_751896490309978;https://www.facebook.com/547583224074640/posts/751896490309978
12/31/23 1:02 AM;Six Flags Great Adventure;Get out here now and close out the 2023 season with us! There are only three days left of Holiday in The Park! 🎄 ✨;107.0;;20.0;4.0;30.0;30.0;1,25E+10;1,25E+10;80.0;;1.0;;69421318512;69421318512_749769017185768;https://www.facebook.com/630574765771861/posts/749769017185768
12/31/23 1:00 AM;Pacific Park;Embark on a luminous journey with Pacific Wheel at Pacific Park! 🎡☀️ Soak in the breathtaking views of the SoCal coastline from 130 feet above the iconic Santa Monica Pier. Standing tall at 85 feet, this solar-powered Ferris wheel takes you on a captivating ride at 2.5 revolutions per minute. Don't miss the dazzling evening spectacle, as 174,000 LED lights paint the night with dynamic, computer-generated magic! 🌙✨;17.0;;0.0;2.0;0.0;0.0;3,39E+12;3,39E+12;14.0;;1.0;;61119627598;61119627598_749717757203972;https://www.facebook.com/562953045880445/posts/749717757203972
12/31/23 12:40 AM;Happy Hollow Park & Zoo;We are “ducky” to have your support! We met our $90,000 goal! Thank you for helping Happy Hollow Foundation double the impact this holiday season — your generosity continues to fund conservation, education and play at Happy Hollow.;15.0;;0.0;0.0;0.0;0.0;3,80E+12;3,80E+12;10.0;;1.0;;1,32943E+11;132942835175_753673856789452;https://www.facebook.com/328743942615781/posts/753673856789452
12/31/23 12:26 AM;Busch Gardens Williamsburg;Spread some holiday cheer, fireworks are almost here! Join us tomorrow for a spectacular fireworks display to ring in 2024! 🎇;131.0;;10.0;8.0;17.0;17.0;2,19E+12;2,19E+12;112.0;;1.0;;18543728314;18543728314_759061129595858;https://www.facebook.com/660535342781771/posts/759061129595858
