Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
09/10/2023 00:54;Hersheypark;"Wildcat's Revenge is feeling golden! 
We are honored to receive the Golden Ticket award for Best New Roller Coaster of 2023 from Amusement Today. https://bit.ly/3P7NhKi
Celebrate with us by planning a visit: https://bit.ly/2WWppMo";1721.0;;111.0;206.0;133.0;133.0;0.002400660997532913;0.002400660997532913;1331.0;;1.0;;16994689356;16994689356_695264142633453;https://www.facebook.com/639748524851682/posts/695264142633453
09/10/2023 00:00;Pacific Park;I believe in a thing called love ... just listen to the rhythm of my heart when I see ice cream 🍦😋;90.0;;0.0;4.0;0.0;0.0;0.0016780919737217938;0.0016780919737217938;76.0;;1.0;;61119627598;61119627598_689028786606203;https://www.facebook.com/562953045880445/posts/689028786606203
09/09/2023 23:44;Knott's Berry Farm;Dive into Gremmie Lagoon for pint-size adventures! From interactive sea creatures to mini-submarines, it's a splash-filled paradise for our little tadpoles at Knott's Soak City Waterpark. Open weekends now until October 1! 💦;106.0;;2.0;2.0;7.0;7.0;1,80E+11;1,80E+11;103.0;;1.0;;10286130875;10286130875_697644165747321;https://www.facebook.com/648365507341854/posts/697644165747321
09/09/2023 23:27;Canada's Wonderland;"Camp Spooky is back Saturday, Sept. 23 for some spooktacular family-friendly Halloween fun! Enjoy scare-free attractions like our a-mazing mazes, trick-or-treat adventures, pumpkin decorating, live shows, costume parties and more!

Join us Saturday and Sunday from Sept. 23 to Oct 29! Camp Spooky is included with admission to the park. https://bit.ly/3PtviiP";56.0;;8.0;13.0;9.0;9.0;9,15E+10;9,15E+10;46.0;;;1.0;95469803923;95469803923_704525108382806;https://www.facebook.com/633676285467689/posts/704525108382806
09/09/2023 23:13;Six Flags Great Escape and Hurricane Harbor;Don't let the sun set on this offer! Buy a 2024 Season Pass before Sept. 10 and receive the rest of this year for FREE and all of next year during the Biggest Sale of the Year. https://bit.ly/3spjxAOa;56.0;;5.0;2.0;5.0;5.0;7,48E+11;7,48E+11;54.0;;1.0;;51613191805;51613191805_682867973874047;https://www.facebook.com/629401885887323/posts/682867973874047
09/09/2023 22:34;Happy Hollow Park & Zoo;Don't miss out on Viva CalleSJ tomorrow, Sunday, Sept. 10! Join in on the fun as a special route of roads is closed to cars for the community to explore San Jose in a new way! 🐲 Happy Hollow will be free to Viva Calle participants from 10 a.m. to 2:30 p.m.! Learn more about Viva CalleSJ at www.vivacallesj.org 🛴;6.0;;1.0;0.0;1.0;1.0;1,78E+12;1,78E+12;6.0;;1.0;;1,32943E+11;132942835175_687868886703283;https://www.facebook.com/328743942615781/posts/687868886703283
09/09/2023 22:20;Wild Adventures Theme Park;🌟  In just 2 days, our 2024 Season Passes will be on sale. But here's the real thrill—when you purchase your 2024 Pass, you'll get the rest of 2023 for FREE! Don't miss out on this incredible deal. Stay tuned for more details.;32.0;;4.0;11.0;5.0;5.0;2,64E+11;2,64E+11;24.0;;1.0;;84679583132;84679583132_703632088476643;https://www.facebook.com/617429960430190/posts/703632088476643
09/09/2023 21:45;MarineLand;Sunshine, giggles, and endless memories – that's what family days are made of!;38.0;;2.0;1.0;2.0;2.0;4,66E+12;4,66E+12;25.0;;1.0;;1,08249E+14;108249372532899_678464584313547;https://www.facebook.com/559786962847977/posts/678464584313547
09/09/2023 21:45;Sea Life Park;Did you know that our annual pass pays for itself in just 2 visits? Visit our website to learn more about how you can unlock unlimited admission, parking perks, retail discounts, and more.;16.0;;0.0;0.0;0.0;0.0;6,08E+11;6,08E+11;14.0;;1.0;;1,05016E+14;105015532870022_637548665144998;https://www.facebook.com/512254014341131/posts/637548665144998
09/09/2023 21:40;Happy Hollow Park & Zoo;Tropical milkweed doesn't die back in California over the winter, which means Monarchs with access to it may stay too long before traveling to their overwintering grounds and and become more susceptible to the protozoan parasite Ophryocystis elektroscirrha, or OE for short. You can help protect Monarchs by cutting back Tropical milkweed in mid-October or planting milkweeds that are native to this area including: Narrow-Leaf Milkweed, showy milkweed, California, Heartleaf and Wooly Milkweeds #PlayitSAFE #SAFEMonarchs #FeedTheMigration #SavingSpecies #SAFEMonarchNetwork #MonarchConservation #MonarchButterfly #MoreThanMonarchs;6.0;;0.0;0.0;0.0;0.0;1,52E+12;1,52E+12;6.0;;1.0;;1,32943E+11;132942835175_687852250038280;https://www.facebook.com/328743942615781/posts/687852250038280
