Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
5/27/23 12:20 AM;Silverwood Theme Park;Who's ready to be lazy?;25.0;;1.0;3.0;1.0;1.0;7,61E+10;7,61E+10;23.0;;;;7,62702E+14;762701550509617_6124880620958323;https://www.facebook.com/762701550509617/posts/6124880620958323/
5/27/23 12:05 AM;Kings Island;Looking for the perfect place to relax at Soak City Water Park this summer? A cabana is just the thing! Chill out by reserving a Tidal Wave Bay or Breakers Bay cabana today! BUY NOW: https://bit.ly/3WB2BSS #KingsIsland;118.0;;11.0;13.0;15.0;15.0;2,15E+12;2,15E+12;111.0;;1.0;;1,55894E+11;155893938367_10162588215773368;https://www.facebook.com/visitkingsisland/photos/a.226729858367/10162588215773368/?type=3
5/26/23 11:39 PM;Busch Gardens Williamsburg;"Blue skies & Griffon rides 🦅

Tackle all 10 coasters this weekend at the World’s Most Beautiful Theme Park!";210.0;;17.0;34.0;23.0;23.0;3,77E+12;3,77E+12;153.0;;;1.0;18543728314;18543728314_10159627943138315;https://www.facebook.com/18543728314/posts/10159627943138315/
5/26/23 11:23 PM;Wild Adventures Theme Park;"Have you heard the news? You can get half off your Single-Day Admission by donating to Second Harvest this weekend! 

Join us from May 27 to May 29 for a weekend filled with gratitude, fun, and giving back. As a special tribute, guests can enjoy 50% off admission when they donate $10 worth of non-perishable food items to Second Harvest of South Georgia. 🙌🍎🥫

Learn more here: https://bit.ly/3OtNlW2";37.0;;5.0;24.0;8.0;8.0;3,85E+12;3,85E+12;29.0;;1.0;;84679583132;84679583132_644022181104301;https://www.facebook.com/617429960430190/posts/644022181104301
5/26/23 11:07 PM;Hersheypark;"Wildcat’s Revenge opens in just one week and we have the best list of new food and retail items for you! Check out some of the delicious eats inspired by our 15th coaster and special merchandise to celebrate the ride: https://bit.ly/43rmsq2

Visit us this summer: https://bit.ly/2WWppMo";786.0;;50.0;87.0;68.0;68.0;0.0011034059009350221;0.0011034059009350221;683.0;;1.0;;16994689356;16994689356_10160888462489357;https://www.facebook.com/16994689356/posts/10160888462489357/
5/26/23 11:01 PM;Six Flags Great Escape and Hurricane Harbor;"#FoodieFriday Introducing BBQ Brisket Mac & Cheese at Charley's Saloon in Ghost Town.
🤠 BBQ Brisket
🤠 Mac & Cheese
🤠 Fried Onions
🤠 Drizzled with BBQ Sauce

Available on the dining plan: https://bit.ly/439O82A";173.0;;25.0;10.0;47.0;47.0;0.0027744270205066345;0.0027744270205066345;153.0;;1.0;;51613191805;51613191805_10159151078416806;https://www.facebook.com/sixflagsgreatescape/photos/a.89446141805/10159151078416806/?type=3
5/26/23 11:00 PM;Walt Disney Animation Studios;The perfect spot for a tea party in Wonderland. ☕ Visual Development Art by Mary Blair, courtesy of the Walt Disney Animation Research Library;718.0;;15.0;56.0;22.0;22.0;6,22E+10;6,22E+10;524.0;;1.0;;23245476854;23245476854_10160357421471855;https://www.facebook.com/23245476854/posts/10160357421471855/
5/26/23 10:26 PM;California's Great America;"A California's Great America Silver Pass offers unparalleled flexibility and convenience, making it easier for parents with young kids to plan their park visits. 

https://www.cagreatamerica.com/blog/2023/2023-silver-pass-best-family-option

#cagreatamerica";52.0;;3.0;4.0;4.0;4.0;2,28E+12;2,28E+12;50.0;1.0;;;28442453154;28442453154_10160063665298155;https://www.facebook.com/28442453154/posts/10160063665298155/
5/26/23 9:55 PM;Sea Life Park;During Military Appreciation Month, we're honored to express our gratitude to the brave men and women in uniform. 🇺🇸 Embark on an extraordinary journey with a remarkable 50% off Dolphin Aloha, Dolphin Encounter, and Hawaiian Reef Encounter experiences exclusively for the military throughout May!;8.0;;0.0;0.0;0.0;0.0;3,08E+11;3,08E+11;8.0;;1.0;;1,05016E+14;105015532870022_583304823902716;https://www.facebook.com/512254014341131/posts/583304823902716
5/26/23 9:49 PM;Santa's Workshop North Pole, Colorado;-;85.0;;14.0;11.0;16.0;16.0;0.002541238399927393;0.002541238399927393;50.0;;;1.0;3,44217E+11;344216765184_631818482319901;https://www.facebook.com/479957200839364/posts/631818482319901
5/26/23 9:37 PM;Santa's Workshop North Pole, Colorado;"What does Santa do during the summer? Come find out - we are open for the season! 

Please note that Santa's elves are diligently treating the Paratrooper ride in this video to a full refurbishment. This ride will reopen later this season and we can't wait to show it off once it's done!";160.0;;24.0;38.0;29.0;29.0;0.005150545685567128;0.005150545685567128;115.0;;;1.0;3,44217E+11;344216765184_631814122320337;https://www.facebook.com/479957200839364/posts/631814122320337
5/26/23 9:15 PM;SkyPark at Santa's Village;"Tunes in the Trees begins TONIGHT with the Summer of '69 (Bryan Adams Tribute) from 7pm-9pm! 🎶⁠
⁠
We're so excited for the return of our Friday summer concert series and look forward to kicking off the Memorial Day Holiday Weekend with everyone! We're also pleased to announce that local favorite, @lakearrowheadbrewing, is the official beer partner of Tunes in the Trees. A limited edition LABC x SPSV pub mug will be for sale on Fridays during the concerts only, so get one while supplies last. There's only 200 made, so they will go fast! 🍻⁠
⁠
Your first beer is included with the purchase of your pub mug ($18) and draft refills of your choice are only $9 each. Then, don't forget to bring your mug every time you visit SkyPark to receive your $9 refill as part of our Pub Mug Club*!

*For guests 21+. Must have mug present for all refills. Draft beers range $9-$14 normally without discount.

⁠
Tunes in the Trees is proudly sponsored by Mountain West Financial, Inc";20.0;;0.0;4.0;0.0;0.0;4,34E+11;4,34E+11;20.0;;1.0;;6,53316E+14;653315854781004_558173796496762;https://www.facebook.com/489423806705095/posts/558173796496762
5/26/23 9:01 PM;SeaWorld Orlando;It's going to be the BEST summer ever! Get ready to dance your way into summer with our new show Surf Holiday: A Sun-sational Musical Experience, in Nautilus Theater starting tomorrow 🏖 Get more information about Summer Spectacular here here: https://bit.ly/42bLzMu;116.0;;14.0;18.0;20.0;20.0;6,63E+11;6,63E+11;95.0;;;1.0;1,7827E+15;1782696285170057_6301128889993418;https://www.facebook.com/1782696285170057/posts/6301128889993418/
5/26/23 9:00 PM;Walt Disney Studios (US);Uncover what's under the sea in Disney's #TheLittleMermaid now playing in theaters!;3572.0;;133.0;138.0;223.0;223.0;1,05E+12;1,05E+12;1939.0;;1.0;;1,11383E+14;111382562236411_9415814511793123;https://www.facebook.com/111382562236411/posts/9415814511793123/
5/26/23 8:40 PM;Six Flags;"Mood since it’s almost the long weekend – and that means the unofficial start of summer at Six Flags. 🎠

📷: clarysagomez_
📍: Six Flags America";40.0;;5.0;0.0;7.0;7.0;1,02E+11;1,02E+11;31.0;;;1.0;8696281132;8696281132_10161262702486133;https://www.facebook.com/8696281132/posts/10161262702486133/
5/26/23 8:37 PM;Lake Compounce;"1 more day 🤘

Our Summer Concert Series opens tomorrow! 🥳 Check out our new and improved beach area and get ready to rock at 6 PM with Red Hot Tribute. 

The fun doesn’t end there! We’re still rocking on Sunday with country music star, Jerrod Niemann at 6 PM.";285.0;;26.0;42.0;43.0;43.0;0.002280150366672829;0.002280150366672829;257.0;;1.0;;80018245271;80018245271_644194754410383;https://www.facebook.com/548816340614892/posts/644194754410383
5/26/23 8:00 PM;Walt Disney Studios (US);Experience the 'captivating' and 'powerful' global phenomenon, #TheLittleMermaid! Get tickets now: https://www.fandango.com/the-little-mermaid-2023-228960/movie-overview;376.0;;26.0;16.0;45.0;45.0;1,17E+10;1,17E+10;193.0;;;1.0;1,11383E+14;111382562236411_9411739422200632;https://www.facebook.com/111382562236411/posts/9411739422200632/
5/26/23 7:55 PM;Santa Cruz Beach Boardwalk;From special events to the latest discounts, stay up to date on all things Boardwalk when you become a Big Kahuna Club member. Plus, you’ll be entered for a chance to win the special monthly giveaway of two Ride Wristbands! Sign up today by visiting bit.ly/newsletters-s Be sure to check your email soon to see if you are a winner, and tell your friends about Big Kahuna Club!;1192.0;;23.0;78.0;35.0;35.0;0.0031544673784563173;0.0031544673784563173;1029.0;1.0;;;40035168377;40035168377_652668630237508;https://www.facebook.com/648251637345874/posts/652668630237508
5/26/23 7:48 PM;Canada's Wonderland;"Grab your favourite swimsuit, slather on that sunscreen and splash into FUN because Splash Works opens tomorrow, Saturday, May 27 at 11am! 🌊 

Included with admission. Psssst… Season Passholders get early entry to select attractions at 10am 😉";282.0;;31.0;39.0;62.0;62.0;4,51E+12;4,51E+12;249.0;;1.0;;95469803923;95469803923_638722894963028;https://www.facebook.com/633676285467689/posts/638722894963028
5/26/23 7:35 PM;SeaWorld San Diego;"Join us on May 27 for the official opening ceremony of Rescue Jr.! Enjoy a speech from Park President Jim Lake, an exciting live musical performance, ribbon cannons, and a ceremonial ribbon cutting!​

​After the ceremony, have tons of family-friendly fun exploring the Mini Rescue Training Zone play area, climbing to the top of the newly refurbished Rescue Boat in the center of the Rescue Bay Splash Zone, meeting animal conservation ambassadors and members of the SeaWorld Rescue team, getting a close-up look at real rescue vehicles, and so much more!​

The ceremony will begin at 10:15am, Rescue Jr. will open to the public immediately after.";116.0;;5.0;16.0;8.0;8.0;0.0012908817644509602;0.0012908817644509602;93.0;;1.0;;4,26112E+14;426111667814056_1641912296233981;https://www.facebook.com/426111667814056/posts/1641912296233981/
