Date;Profile;Message;Number of Reactions;Number of Shares;Number of Comments (primary);Number of Shares;Comments per post;Comments on posts by fans;Post interaction rate;Engagement;Number of Likes;Link-posts;Picture Posts;Video-posts;Profile-ID;Post-ID;Link
01/12/2023 23:53;California's Great America;"Ready to join the Peanuts Gang? 🎉 

Apply Here: https://bit.ly/3kaSvJb

🚨 Must be between the height of 4'7''-5'3''

#CAAuditions #CAGreatAmerica";31.0;;0.0;7.0;0.0;0.0;1,45E+12;1,45E+12;28.0;;1.0;;28442453154;28442453154_10159803032658155;https://www.facebook.com/cagreatamerica/photos/a.282668728154/10159803032658155/?type=3
01/12/2023 23:30;Six Flags Great Escape and Hurricane Harbor;"Today's winter grey has us daydreaming about a sunny opening day! Four months to go but who's counting?!

#MySixFlags
#SixFlagsMemories";114.0;;11.0;6.0;14.0;14.0;0.0016311227967669686;0.0016311227967669686;92.0;;1.0;;51613191805;51613191805_10158900857396806;https://www.facebook.com/sixflagsgreatescape/photos/a.89446141805/10158900857396806/?type=3
01/12/2023 23:13;Wild Adventures Theme Park;"CALLING ALL EDUCATORS! Have you heard about Education Days at Wild Adventures?

Elevate your next field trip with free Standard Aligned Lesson Plans, Discounted Admission, and Complimentary Lunch!

Learn more at WildAdventures.com/Schools !";88.0;;15.0;47.0;23.0;23.0;9,00E+11;9,00E+11;73.0;;1.0;;84679583132;84679583132_10159307893448133;https://www.facebook.com/WildAdventures/photos/a.118859423132/10159307893448133/?type=3
01/12/2023 23:05;SeaWorld San Diego;"Another Friday, another Happy Hour! This week, enjoy our Hendrick's Pink Rickey for $4 at Underwater Cantina from 4:00 p.m. to park close.​

​Plus, enjoy 'Brew for $2' 12-ounce draft beers at Underwater Cantina and High Tide Brews!";30.0;;1.0;2.0;1.0;1.0;3,14E+11;3,14E+11;28.0;;1.0;;4,26112E+14;426111667814056_1561297497628795;https://www.facebook.com/seaworldsandiego/photos/a.426182044473685/1561297497628795/?type=3
01/12/2023 23:00;Sesame Place San Diego;The Sesame Street Party Parade is BACK! This colorful, energetic parade will get the whole family dancing along Sesame Street. Check the park schedule for exact times to ensure you don't miss this party on wheels!​;22.0;;1.0;4.0;1.0;1.0;0.0014909713402175714;0.0014909713402175714;17.0;;1.0;;1,16947E+14;116946949686332_913994786648207;https://www.facebook.com/sesameplacesandiego/photos/a.138108544236839/913994786648207/?type=3
01/12/2023 22:51;Belmont Park;"Head on down to Tiki Town! 🌋

Tiki Town Mini Golf is OPEN! Take on our 18-hole course as you adventure through a tropical oasis! 🌴

Careful, watch out for the volcano! 😏";19.0;;0.0;1.0;0.0;0.0;4,06E+12;4,06E+12;18.0;;1.0;;83231004302;83231004302_10160005781794303;https://www.facebook.com/83231004302/posts/10160005781794303/
01/12/2023 21:00;Busch Gardens Tampa Bay;Back with another First Drop episode! We're kicking off 2023 with some awesome Pass Member Rewards, electrifying events, a giveaway, and so much more! Make sure you click the link now to watch the full video on Youtube. 🎢 https://bit.ly/3kc2kXA;49.0;;1.0;1.0;1.0;1.0;7,65E+10;7,65E+10;37.0;;;1.0;68181225238;68181225238_10160210771875239;https://www.facebook.com/68181225238/posts/10160210771875239/
01/12/2023 20:56;Gilroy Gardens;Comment down below other great photo spots we should include in our next reel!📸🌳;18.0;;1.0;2.0;1.0;1.0;2,67E+11;2,67E+11;16.0;;;;1,22944E+14;122943674395623_6028534147169850;https://www.facebook.com/122943674395623/posts/6028534147169850/
01/12/2023 20:55;Sea Life Park;"If you're lucky enough to spot a California Sea Lion in the wild, remember to give them plenty of space and respect their habitat. These animals are protected by law, and it's important that we do our part to help preserve their natural environment.

Learn more about these majestic creatures during your next visit at our park!

https://www.sealifeparkhawaii.com/conservation-n-education/animal-profiles/california-sea-lion";16.0;;0.0;1.0;0.0;0.0;6,64E+11;6,64E+11;16.0;;1.0;;1,05016E+14;105015532870022_5942570622447788;https://www.facebook.com/SeaLifeHawaii/photos/a.110565415648367/5942570622447788/?type=3
01/12/2023 19:55;Santa Cruz Beach Boardwalk;Generations of kids loved the Fun House (1925-1971) with its giant wooden slide, undulating 50-foot walkway, rotating barrel, and fast-spinning disk. The old-fashioned fun house kept kids entertained for hours. In fact, at one point, it was nicknamed 'babysitting headquarters' because kids could stay and play all day for fifty cents! Do you have a favorite Fun House memory? 🤡🛝🪞#TBT;368.0;;69.0;56.0;90.0;90.0;0.001246169362659529;0.001246169362659529;288.0;;1.0;;40035168377;40035168377_10162511319553378;https://www.facebook.com/SantaCruzBeachBoardwalk/photos/a.429019468377/10162511319553378/?type=3
